"filename", "language", "PHP", "JavaScript", "YAML", "Properties", "XML", "JSON", "Markdown", "CSS", "Less", "SCSS", "HTML", "CoffeeScript", "Shell Script", "comment", "blank", "total"
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-multiselect\bootstrap-multiselect.js", "JavaScript", 0, 895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 295, 226, 1416
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-multiselect\bootstrap-multiselect.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 43, 15, 113
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-progressbar\css\bootstrap-progressbar-3.3.4.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 1, 1, 141
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-progressbar\css\bootstrap-progressbar-3.3.4.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-progressbar\js\bootstrap-progressbar.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 31, 169
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-progressbar\js\bootstrap-progressbar.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-tagsinput\bootstrap-tagsinput-angular.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 88
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-tagsinput\bootstrap-tagsinput-angular.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-tagsinput\bootstrap-tagsinput-typeahead.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-tagsinput\bootstrap-tagsinput.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 1, 53
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-tagsinput\bootstrap-tagsinput.js", "JavaScript", 0, 455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 96, 664
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-tagsinput\bootstrap-tagsinput.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3511, 0, 0, 0, 0, 0, 7, 201, 3719
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 8, 56, 331
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 8832, 0, 0, 0, 0, 0, 7, 1199, 10038
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 4493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1359, 1162, 7014
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap\js\bootstrap.js", "JavaScript", 0, 3262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 332, 842, 4436
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\seniorProject\assets\vendor\c3\c3.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 17, 42, 228
"c:\xampp\htdocs\seniorProject\assets\vendor\c3\c3.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\c3\d3.v3.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\seniorProject\assets\vendor\c3\d3.v5.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\seniorProject\assets\vendor\chartist-plugin-axistitle\chartist-plugin-axistitle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 8
"c:\xampp\htdocs\seniorProject\assets\vendor\chartist-plugin-legend-latest\chartist-plugin-legend.js", "JavaScript", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 31, 214
"c:\xampp\htdocs\seniorProject\assets\vendor\chartist-plugin-tooltip\chartist-plugin-tooltip.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 3, 35
"c:\xampp\htdocs\seniorProject\assets\vendor\chartist-plugin-tooltip\chartist-plugin-tooltip.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 8
"c:\xampp\htdocs\seniorProject\assets\vendor\chartist\Chart.bundle.js", "JavaScript", 0, 11118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1220, 2253, 14591
"c:\xampp\htdocs\seniorProject\assets\vendor\chartist\css\chartist.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 547, 0, 0, 0, 0, 0, 1, 67, 615
"c:\xampp\htdocs\seniorProject\assets\vendor\chartist\css\chartist.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
